waypoint1	waypoint2	distance_m	duration_s
Acadia, Maine	Arches, Utah	4158438	138985
Badlands, South Dakota	Acadia, Maine	3361924	112228
Big Bend, Texas	Acadia, Maine	4122919	138724
Acadia, Maine	Biscayne, Florida	2841347	95936
Black Canyon of the Gunnison, Colorado	Acadia, Maine	4015523	136908
Acadia, Maine	Bryce Canyon, Utah	4466669	151151
Canyonlands, Utah	Acadia, Maine	4177818	139808
Acadia, Maine	Capitol Reef, Utah	4283138	143266
Acadia, Maine	Carlsbad Caverns, New Mexico	4006239	135927
Congaree, South Carolina	Acadia, Maine	1927625	66843
Crater Lake, Oregon	Acadia, Maine	5368434	180181
Cuyahoga Valley, Ohio	Acadia, Maine	1474442	50763
Death Valley, California	Acadia, Maine	5022146	166799
Acadia, Maine	Everglades, Florida	2857326	96558
Great Sand Dunes, Colorado	Acadia, Maine	3825271	129874
Great Smoky Mountains, North Carolina	Acadia, Maine	1923884	68355
Gateway Arch, Missouri	Acadia, Maine	2326429	80109
Acadia, Maine	Glacier, Montana	4420430	148579
Grand Canyon, Arizona	Acadia, Maine	4656958	156164
Great Basin, Nevada	Acadia, Maine	4833414	160909
Acadia, Maine	Guadalupe Mountains, Texas	4062374	137879
Hot Springs, Arkansas	Acadia, Maine	2840513	97326
Indiana Dunes, Indiana	Acadia, Maine	1943926	66889
Acadia, Maine	Joshua Tree, California	5085640	170303
Kings Canyon, California	Acadia, Maine	5465737	182873
Acadia, Maine	Lassen Volcanic, California	5298729	176006
Acadia, Maine	Mammoth Cave, Kentucky	2136953	73672
Mesa Verde, Colorado	Acadia, Maine	4118373	142407
Mount Rainier, Washington	Acadia, Maine	5418159	183314
Acadia, Maine	North Cascades, Washington	5229656	176944
Petrified Forest, Arizona	Acadia, Maine	4354086	145819
Pinnacles, California	Acadia, Maine	5559673	185110
Redwood, California	Acadia, Maine	5449593	180919
Acadia, Maine	Rocky Mountain, Colorado	3647106	123129
Acadia, Maine	Saguaro, Arizona	4647616	156781
Acadia, Maine	Sequoia, California	5406759	180712
Shenandoah, Virginia	Acadia, Maine	1315972	47648
Acadia, Maine	Theodore Roosevelt, North Dakota	3563624	119466
Acadia, Maine	Voyageurs, Minnesota	2415978	94883
Acadia, Maine	White Sands, New Mexico	4180868	141557
Wind Cave, South Dakota	Acadia, Maine	3538740	118606
Yellowstone, Wyoming	Acadia, Maine	4166430	140652
Yosemite, California	Acadia, Maine	5144767	172548
Zion, Utah	Acadia, Maine	4569118	153280
Badlands, South Dakota	Arches, Utah	1157035	39719
Big Bend, Texas	Arches, Utah	1422964	50847
Arches, Utah	Biscayne, Florida	3756535	125847
Black Canyon of the Gunnison, Colorado	Arches, Utah	288098	10592
Arches, Utah	Bryce Canyon, Utah	396884	15455
Canyonlands, Utah	Arches, Utah	42136	1774
Arches, Utah	Capitol Reef, Utah	213353	7571
Arches, Utah	Carlsbad Caverns, New Mexico	1072963	38239
Congaree, South Carolina	Arches, Utah	3161559	104449
Crater Lake, Oregon	Arches, Utah	1489289	52387
Cuyahoga Valley, Ohio	Arches, Utah	2707579	88939
Death Valley, California	Arches, Utah	952361	31103
Arches, Utah	Everglades, Florida	3772514	126469
Great Sand Dunes, Colorado	Arches, Utah	525654	21335
Great Smoky Mountains, North Carolina	Arches, Utah	2782120	92320
Gateway Arch, Missouri	Arches, Utah	1928601	63011
Arches, Utah	Glacier, Montana	1409728	46232
Grand Canyon, Arizona	Arches, Utah	669434	24458
Great Basin, Nevada	Arches, Utah	966003	32779
Arches, Utah	Guadalupe Mountains, Texas	1129099	40192
Hot Springs, Arkansas	Arches, Utah	1958256	69320
Indiana Dunes, Indiana	Arches, Utah	2221383	72503
Arches, Utah	Joshua Tree, California	1044793	34939
Kings Canyon, California	Arches, Utah	1395952	47177
Arches, Utah	Lassen Volcanic, California	1356008	47823
Arches, Utah	Mammoth Cave, Kentucky	2390411	79577
Mesa Verde, Colorado	Arches, Utah	207759	8252
Mount Rainier, Washington	Arches, Utah	1720117	60894
Arches, Utah	North Cascades, Washington	1793523	62983
Petrified Forest, Arizona	Arches, Utah	500115	18205
Pinnacles, California	Arches, Utah	1458382	49653
Redwood, California	Arches, Utah	1506872	52737
Rocky Mountain, Colorado	Arches, Utah	606794	22568
Arches, Utah	Saguaro, Arizona	926774	32240
Sequoia, California	Arches, Utah	1336973	45037
Shenandoah, Virginia	Arches, Utah	3144493	103811
Arches, Utah	Theodore Roosevelt, North Dakota	1463627	49822
Arches, Utah	Voyageurs, Minnesota	2297603	80499
Arches, Utah	White Sands, New Mexico	986825	34474
Wind Cave, South Dakota	Arches, Utah	1104542	37408
Yellowstone, Wyoming	Arches, Utah	882267	29690
Yosemite, California	Arches, Utah	1132397	39679
Zion, Utah	Arches, Utah	499333	17585
Big Bend, Texas	Badlands, South Dakota	1780866	62350
Badlands, South Dakota	Biscayne, Florida	3383179	109650
Black Canyon of the Gunnison, Colorado	Badlands, South Dakota	1014851	37738
Badlands, South Dakota	Bryce Canyon, Utah	1468899	50919
Canyonlands, Utah	Badlands, South Dakota	1177145	40638
Badlands, South Dakota	Capitol Reef, Utah	1282466	44075
Badlands, South Dakota	Carlsbad Caverns, New Mexico	1490633	52276
Congaree, South Carolina	Badlands, South Dakota	2650929	87345
Crater Lake, Oregon	Badlands, South Dakota	2167256	75476
Cuyahoga Valley, Ohio	Badlands, South Dakota	1909720	62308
Badlands, South Dakota	Death Valley, California	1933092	65091
Badlands, South Dakota	Everglades, Florida	3399158	110273
Great Sand Dunes, Colorado	Badlands, South Dakota	930650	33695
Great Smoky Mountains, North Carolina	Badlands, South Dakota	2271490	75216
Gateway Arch, Missouri	Badlands, South Dakota	1417972	45908
Badlands, South Dakota	Glacier, Montana	1150795	39877
Badlands, South Dakota	Grand Canyon, Arizona	1825247	64046
Badlands, South Dakota	Great Basin, Nevada	1666255	56563
Badlands, South Dakota	Guadalupe Mountains, Texas	1546769	54228
Hot Springs, Arkansas	Badlands, South Dakota	1692981	57125
Indiana Dunes, Indiana	Badlands, South Dakota	1425502	46080
Badlands, South Dakota	Joshua Tree, California	2025524	68927
Kings Canyon, California	Badlands, South Dakota	2376683	81166
Badlands, South Dakota	Lassen Volcanic, California	2131569	71658
Badlands, South Dakota	Mammoth Cave, Kentucky	1879782	62473
Mesa Verde, Colorado	Badlands, South Dakota	1190408	44325
Mount Rainier, Washington	Badlands, South Dakota	2040650	70983
Badlands, South Dakota	North Cascades, Washington	1852147	64613
Badlands, South Dakota	Petrified Forest, Arizona	1589990	54290
Pinnacles, California	Badlands, South Dakota	2392514	80762
Redwood, California	Badlands, South Dakota	2282433	76571
Badlands, South Dakota	Rocky Mountain, Colorado	585986	21953
Badlands, South Dakota	Saguaro, Arizona	1945612	66181
Badlands, South Dakota	Sequoia, California	2317706	79026
Badlands, South Dakota	Shenandoah, Virginia	2492847	83293
Badlands, South Dakota	Theodore Roosevelt, North Dakota	472730	16655
Badlands, South Dakota	Voyageurs, Minnesota	1128126	40365
Badlands, South Dakota	White Sands, New Mexico	1479753	52299
Wind Cave, South Dakota	Badlands, South Dakota	87244	4436
Yellowstone, Wyoming	Badlands, South Dakota	788921	28321
Yosemite, California	Badlands, South Dakota	1977607	68203
Zion, Utah	Badlands, South Dakota	1529260	52257
Big Bend, Texas	Biscayne, Florida	2820973	93343
Black Canyon of the Gunnison, Colorado	Big Bend, Texas	1337443	49668
Big Bend, Texas	Bryce Canyon, Utah	1738585	59690
Big Bend, Texas	Canyonlands, Utah	1471160	50254
Big Bend, Texas	Capitol Reef, Utah	1622914	56424
Big Bend, Texas	Carlsbad Caverns, New Mexico	388925	14007
Congaree, South Carolina	Big Bend, Texas	2483071	81207
Big Bend, Texas	Crater Lake, Oregon	2863237	99273
Cuyahoga Valley, Ohio	Big Bend, Texas	2662257	88205
Big Bend, Texas	Death Valley, California	1839606	62253
Big Bend, Texas	Everglades, Florida	2836967	93974
Big Bend, Texas	Great Sand Dunes, Colorado	1096347	39679
Big Bend, Texas	Great Smoky Mountains, North Carolina	2287349	76072
Big Bend, Texas	Gateway Arch, Missouri	1788799	59008
Big Bend, Texas	Glacier, Montana	2757101	91452
Big Bend, Texas	Grand Canyon, Arizona	1371654	48906
Big Bend, Texas	Great Basin, Nevada	2436834	81572
Big Bend, Texas	Guadalupe Mountains, Texas	380633	13033
Big Bend, Texas	Hot Springs, Arkansas	1316742	43697
Big Bend, Texas	Indiana Dunes, Indiana	2306733	75960
